iteration,found,delay_sec,api_calls
0,True,1.266702292021364,2
1,True,0.8462528329982888,2
2,True,0.7244140410039108,2
3,True,11.834483042010106,6
4,True,0.6935025000129826,2
5,True,0.524638832983328,2
6,True,1.0919558329915162,2
7,True,1.2488533750001807,3
8,True,0.8460091250017285,2
9,True,1.5885985420027282,3
10,True,2.0821149999974295,3
11,True,0.7867588749795686,3
12,True,0.27935724999406375,2
13,True,3.7874626670090947,4
14,True,3.823709582997253,4
15,True,11.552247834013542,5
16,True,0.6354708750150166,2
17,True,0.6962381670018658,2
18,True,0.8979339999787044,2
19,True,1.0416691249993164,2
20,True,4.296891792007955,4
21,True,3.5153274170006625,4
22,True,0.8055586660047993,2
23,True,0.4109521660138853,2
24,True,0.6320056670228951,2
25,True,0.28718250000383705,2
26,True,5.28759533399716,5
27,True,0.5511419160175137,2
28,True,0.8057702090009116,2
29,True,1.0384122499963269,2
30,True,0.3046100419887807,2
31,True,0.47071770901675336,2
32,True,0.846044832986081,2
33,True,0.5087045000109356,2
34,True,4.3555685419996735,4
35,True,0.5252637910016347,2
36,True,2.6081467920157593,4
37,True,0.9248901660030242,2
38,True,1.5180637919984292,3
39,True,0.47855249998974614,2
40,True,0.37289175001205876,2
41,True,0.32316324999555945,2
42,True,0.8002735839982051,3
43,True,2.7256314160185866,4
44,True,1.435436583997216,3
45,True,3.1372858340037055,4
46,True,3.0916825830063317,4
47,True,0.5954228749906179,2
48,True,1.0955553330131806,3
49,True,0.9964055420132354,3
50,True,1.9095158749842085,3
51,True,0.23075616697315127,2
52,True,3.3159569159906823,4
53,True,1.7185918750183191,3
54,True,1.0389905420015566,2
55,True,1.056944291020045,2
56,True,0.2877291670010891,2
57,True,1.2501239590055775,3
58,True,3.232098374981433,4
59,True,1.9856889999937266,3
60,True,8.010896207997575,6
61,True,0.9415687920118216,2
62,True,0.8989947919908445,2
63,True,1.207530665997183,3
64,True,0.8717570829903707,2
65,True,8.700793666997924,5
66,True,1.0628602500073612,2
67,True,0.6882712079968769,2
68,True,3.795284709020052,5
69,True,0.427235125011066,2
70,True,1.05653387500206,2
71,True,3.7177104169968516,5
72,True,0.40907079199678265,2
73,True,4.395152125012828,4
74,True,0.8085641250072513,2
75,True,1.5244367079867516,3
76,True,0.45479645900195464,2
77,True,1.0960193749924656,3
78,True,5.547859333019005,5
79,True,0.7223053749767132,2
80,True,1.0042726249957923,2
81,True,0.7344344170123804,2
82,True,0.634689458005596,2
83,True,0.7197793340019416,2
84,True,5.908882707997691,4
85,True,0.7189185419993009,2
86,True,0.9350962089956738,2
87,True,2.282076917006634,3
88,True,0.9981287090049591,2
89,True,0.3229746670112945,2
90,True,0.8856157920090482,3
91,True,0.38118324999231845,2
92,True,2.37256045799586,3
93,True,4.250370666006347,4
94,True,5.4488546249922365,4
95,True,0.6058712910162285,2
96,True,0.7110346250119619,2
97,True,1.5464885830006097,3
98,True,0.3940361249842681,2
99,True,0.2946631250088103,2
