iteration,matched,propagation_sec,polls,timeout_used,first_read_sec,first_read_rule,first_read_matched,first_read_stale
89,True,0.05,1,600,0.05,expire-b68142f0-6250-43a5-b04c-d57894c8bb42,True,False
90,True,0.048,1,600,0.048,expire-06ddfe82-0d23-401a-9d96-fb147d445ca6,True,False
91,True,0.053,1,600,0.053,expire-a6872bd9-694e-4454-bbfe-8296ee39f995,True,False
92,True,1.095,2,600,0.033,expire-a6872bd9-694e-4454-bbfe-8296ee39f995,False,True
93,True,0.052,1,600,0.052,expire-2e7bb366-12b7-4f6a-a313-d5ca7559eba3,True,False
94,True,0.046,1,600,0.046,expire-0f406214-50e6-4c9e-b1a6-a127559f2551,True,False
95,True,0.049,1,600,0.049,expire-b0f4b1bc-8f6b-40ce-b7d6-ad0bfd67085a,True,False
96,True,0.054,1,600,0.054,expire-34a4ebf9-b831-41da-af1b-3421644896b9,True,False
97,True,0.05,1,600,0.05,expire-902195a4-7a1c-4b03-a2c8-d338685b5f8f,True,False
98,True,0.045,1,600,0.045,expire-e878671d-bef1-438c-b1c0-e2eb456caab2,True,False
99,True,0.045,1,600,0.045,expire-7f947327-c213-476e-912f-b6181de65674,True,False
