key,success,write_latency_ms,read_latency_ms,total_latency_ms
concurrent-obj-0-77f4c2,True,64.50979202054441,43.35391698987223,107.86370901041664
concurrent-obj-14-180324,True,230.30908399960026,45.15545800677501,275.46454200637527
concurrent-obj-2-7b6f03,True,239.96679100673646,46.532792010111734,286.4995830168482
concurrent-obj-6-baf8e0,True,238.3223749930039,45.50137501792051,283.8237500109244
concurrent-obj-5-75c014,True,241.63716597831808,44.15858400170691,285.795749980025
concurrent-obj-15-9b6752,True,237.8945840173401,42.70908300532028,280.6036670226604
concurrent-obj-7-ab151b,True,233.611874980852,51.2437500001397,284.8556249809917
concurrent-obj-16-d92f00,True,233.74937500921078,46.70670800260268,280.45608301181346
concurrent-obj-13-abae07,True,232.3442919878289,49.900832993444055,282.24512498127297
concurrent-obj-18-37978a,True,225.6635420199018,55.55924997315742,281.2227919930592
concurrent-obj-4-c71bcb,True,244.44408400449902,46.32412499631755,290.76820900081657
concurrent-obj-10-391243,True,235.61941701336764,54.98608300695196,290.6055000203196
concurrent-obj-19-f33ae5,True,232.89745798683725,52.925000025425106,285.82245801226236
concurrent-obj-1-e58153,True,243.33774999831803,56.24354199972004,299.58129199803807
concurrent-obj-17-5c7c76,True,227.85445899353363,60.89087500004098,288.7453339935746
concurrent-obj-9-db00a4,True,292.1833749860525,92.79983301530592,384.98320800135843
concurrent-obj-11-6f9aff,True,260.96829198650084,128.62537501496263,389.5936670014635
concurrent-obj-12-03b8be,True,272.9893330251798,121.26816698582843,394.25750001100823
concurrent-obj-3-860017,True,284.7209589963313,119.67000001459382,404.39095901092514
concurrent-obj-8-33a6c3,True,292.99387501669116,108.83962499792688,401.83350001461804
concurrent-obj-20-39ac12,True,289.8624580120668,52.23037497489713,342.0928329869639
concurrent-obj-25-ec2c84,True,249.23399998806417,44.28908400586806,293.52308399393223
concurrent-obj-22-eee763,True,247.58112500421703,48.93508300301619,296.5162080072332
concurrent-obj-21-4cbeaa,True,250.56370798847638,48.894334002397954,299.45804199087434
concurrent-obj-27-3f8569,True,246.73804198391736,47.93525001150556,294.6732919954229
concurrent-obj-28-686bcb,True,245.42241598828696,49.60554200806655,295.0279579963535
concurrent-obj-24-6ae954,True,257.347334001679,47.16862499481067,304.51595899648964
concurrent-obj-32-f0fc23,True,252.04525000299327,46.11712499172427,298.16237499471754
concurrent-obj-34-516e60,True,250.11258298764005,47.50200000125915,297.6145829888992
concurrent-obj-29-39a7c7,True,257.8832499857526,46.239040995715186,304.1222909814678
concurrent-obj-33-92f19a,True,249.94704200071283,49.128082988318056,299.0751249890309
concurrent-obj-26-4b74c3,True,262.85837500472553,47.834833996603265,310.6932090013288
concurrent-obj-30-02f636,True,271.10762501251884,48.72004099888727,319.8276660114061
concurrent-obj-39-278c7b,True,158.99041699594818,46.67275000247173,205.6631669984199
concurrent-obj-35-08c6a6,True,163.24858300504275,50.043084018398076,213.29166702344082
concurrent-obj-31-f1d778,True,268.7091249972582,49.7869590180926,318.4960840153508
concurrent-obj-23-940670,True,277.0303339930251,51.02620800607838,328.0565419991035
concurrent-obj-36-97e68c,True,181.92112501128577,53.04979198263027,234.97091699391603
concurrent-obj-38-f612b2,True,175.70891699870117,51.21962499106303,226.9285419897642
concurrent-obj-40-8ac9e2,True,131.99483300559223,53.35649999324232,185.35133299883455
concurrent-obj-37-4774a0,True,174.75954198744148,54.21508301515132,228.9746250025928
concurrent-obj-41-235651,True,241.58583299140446,101.5752500097733,343.16108300117776
concurrent-obj-45-1016c3,True,239.54595800023526,100.75429198332131,340.30024998355657
concurrent-obj-48-4dba77,True,224.6872920077294,106.53062499477528,331.2179170025047
concurrent-obj-50-469677,True,223.30900002270937,106.58087499905378,329.88987502176315
concurrent-obj-42-368b72,True,242.78687499463558,104.15012500016019,346.93699999479577
concurrent-obj-47-353430,True,225.80474999267608,106.43012501532212,332.2348750079982
concurrent-obj-43-48cc88,True,224.94354099035263,122.75662500178441,347.70016599213704
concurrent-obj-44-25da65,True,222.37741699791513,126.56279100337997,348.9402080012951
concurrent-obj-57-6cbd4d,True,287.39099999074824,47.322250000433996,334.71324999118224
concurrent-obj-59-b15364,True,279.450458008796,55.59508298756555,335.0455409963615
concurrent-obj-55-245e48,True,308.23212501127273,49.42220798693597,357.6543329982087
concurrent-obj-52-1f02ae,True,305.5724169826135,53.84120799135417,359.41362497396767
concurrent-obj-46-b4cc74,True,327.98591698519886,50.266250007553026,378.2521669927519
concurrent-obj-49-18d396,True,322.91012498899363,58.64900001324713,381.55912500224076
concurrent-obj-60-c27572,True,294.3274580175057,54.57970898714848,348.9071670046542
concurrent-obj-51-0966c8,True,318.21995798964053,64.86279200180434,383.08274999144487
concurrent-obj-54-f8e004,True,302.58499999763444,68.22795799234882,370.81295798998326
concurrent-obj-56-496bba,True,317.7211250003893,51.96120898472145,369.68233398511074
concurrent-obj-58-344e53,True,331.78579100058414,46.387874986976385,378.1736659875605
